"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:19:22.2970860 PM","notepad.exe","5656","RegCloseKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManager","SUCCESS",""
"7:19:22.2971173 PM","notepad.exe","5656","RegOpenKey","HKCU","SUCCESS","Desired Access: Read"
"7:19:22.2971363 PM","notepad.exe","5656","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:19:22.2971482 PM","notepad.exe","5656","RegOpenKey","HKCU\Software\Classes","REPARSE","Desired Access: Notify"
"7:19:22.2971630 PM","notepad.exe","5656","RegOpenKey","HKCU\Software\Classes","SUCCESS","Desired Access: Notify"
"7:19:22.2971809 PM","notepad.exe","5656","RegCloseKey","HKCU","SUCCESS",""
"7:19:22.2972104 PM","notepad.exe","5656","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:19:22.2972281 PM","notepad.exe","5656","RegOpenKey","HKLM\Software\Microsoft\OLE","SUCCESS","Desired Access: Read"
"7:19:22.2972427 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\Ole\MaxSxSHashCount","NAME NOT FOUND","Length: 16"
"7:19:22.2972611 PM","notepad.exe","5656","RegCloseKey","HKLM\SOFTWARE\Microsoft\Ole","SUCCESS",""
"7:19:22.2974127 PM","notepad.exe","5656","RegOpenKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManagerPrivatePT","SUCCESS","Desired Access: Read"
"7:19:22.2974327 PM","notepad.exe","5656","RegQueryKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManagerPrivatePT","SUCCESS","Query: Basic, Name: Windows.Security.EnterpriseData.ProtectionPolicyManagerPrivatePT"
"7:19:22.2974520 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManagerPrivatePT\ActivationType","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"7:19:22.2974688 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManagerPrivatePT\Server","NAME NOT FOUND","Length: 144"
"7:19:22.2974902 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManagerPrivatePT\DllPath","SUCCESS","Type: REG_SZ, Length: 62, Data: C:\Windows\System32\efswrt.dll"
"7:19:22.2975023 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManagerPrivatePT\Threading","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"7:19:22.2975108 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManagerPrivatePT\TrustLevel","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
